seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	16888700	16888785	86	*	X00024	5931	16862775	16888534	25760	-	165	upstream	165	RBBP7
chrX	16964794	16964859	66	*	X00025	9185	16964814	17171403	206590	+	0	overlapStart	0	REPS2
chrX	17755102	17755312	211	*	X00027	6322	17755592	17773105	17514	+	279	upstream	279	SCML1
chrX	18443406	18443496	91	*	X00028	6792	18443725	18671749	228025	+	228	upstream	228	CDKL5
chrX	18443586	18443744	159	*	X00029	6792	18443725	18671749	228025	+	0	overlapStart	0	CDKL5
chrX	19361820	19362099	280	*	X00030	5160	19362011	19379825	17815	+	0	overlapStart	0	PDHA1
chrX	20009191	20009327	137	*	X00031	729609	20004935	20007897	2963	-	1293	upstream	1293	LOC729609
chrX	20009390	20009451	62	*	X00032	729609	20004935	20007897	2963	-	1492	upstream	1492	LOC729609
chrX	20159926	20160013	88	*	X00033	1964	20142636	20159966	17331	-	0	overlapStart	0	EIF1AX
chrX	20160189	20160231	43	*	X00034	1964	20142636	20159966	17331	-	222	upstream	222	EIF1AX
chrX	20284989	20285290	302	*	X00035	6197	20168029	20285523	117495	-	0	inside	232	RPS6KA3
chrX	23761270	23761672	403	*	X00036	23597	23721777	23761407	39631	-	0	overlapStart	0	ACOT9
chrX	23801126	23801277	152	*	X00037	6303	23801275	23804327	3053	+	0	overlapStart	0	SAT1
chrX	23925778	23926266	489	*	X00038	254158	23926123	23957624	31502	+	0	overlapStart	0	CXorf58
chrX	23925778	23926266	489	*	X00038	79135	23851465	23926057	74593	-	0	overlapStart	0	APOO
chrX	24168311	24168547	237	*	X00040	100873922	24164342	24167771	3430	-	539	upstream	539	ZFX-AS1
chrX	24711732	24712078	347	*	X00041	5422	24712058	25015102	303045	+	0	overlapStart	0	POLA1
chrX	40439870	40440271	402	*	X00045	10159	40440216	40465888	25673	+	0	overlapStart	0	ATP6AP2
chrX	40594971	40595262	292	*	X00046	9282	40508795	40595136	86342	-	0	overlapStart	0	MED14
chrX	40943698	40944145	448	*	X00047	8239	40944888	41095832	150945	+	742	upstream	742	USP9X
chrX	41192541	41192807	267	*	X00048	1654	41192651	41223725	31075	+	0	overlapStart	0	DDX3X
chrX	41782731	41782899	169	*	X00050	8573	41374189	41782287	408099	-	443	upstream	443	CASK
chrX	41782966	41783073	108	*	X00051	8573	41374189	41782287	408099	-	678	upstream	678	CASK
chrX	43513834	43514026	193	*	X00052	4128	43514155	43606071	91917	+	128	upstream	128	MAOA
chrX	43514072	43514301	230	*	X00053	4128	43514155	43606071	91917	+	0	overlapStart	0	MAOA
chrX	44732127	44732390	264	*	X00055	7403	44732423	44971845	239423	+	32	upstream	32	KDM6A
chrX	46696272	46696517	246	*	X00058	6102	46696347	46741791	45445	+	0	overlapStart	0	RP2
chrX	46771657	46771974	318	*	X00059	9767	46771736	46920641	148906	+	0	overlapStart	0	JADE3
chrX	47004394	47004772	379	*	X00060	54539	47001615	47004609	2995	-	0	overlapStart	0	NDUFB11
chrX	47004394	47004772	379	*	X00060	8241	47004617	47046214	41598	+	0	overlapStart	0	RBM10
chrX	47077174	47077707	534	*	X00061	5127	47077528	47089394	11867	+	0	overlapStart	0	CDK16
chrX	47420332	47420600	269	*	X00063	369	47420499	47431320	10822	+	0	overlapStart	0	ARAF
chrX	47441643	47441886	244	*	X00064	7076	47441690	47446190	4501	+	0	overlapStart	0	TIMP1
chrX	47509940	47510070	131	*	X00065	2002	47494919	47510003	15085	-	0	overlapStart	0	ELK1
chrX	47510226	47510597	372	*	X00066	2002	47494919	47510003	15085	-	222	upstream	222	ELK1
chrX	47518055	47518376	322	*	X00067	100133957	47518232	47519776	1545	+	0	overlapStart	0	UXT-AS1
chrX	47518055	47518376	322	*	X00067	8409	47511191	47518579	7389	-	0	inside	202	UXT
chrX	48379936	48380253	318	*	X00068	10682	48380164	48387104	6941	+	0	overlapStart	0	EBP
chrX	48659739	48660210	472	*	X00072	10013	48660287	48683380	23094	+	76	upstream	76	HDAC6
chrX	48660373	48660704	332	*	X00073	10013	48660287	48683380	23094	+	0	inside	85	HDAC6
chrX	48755018	48755233	216	*	X00075	10084	48755195	48760422	5228	+	0	overlapStart	0	PQBP1
chrX	48755018	48755233	216	*	X00075	10245	48750730	48755426	4697	-	0	inside	192	TIMM17B
chrX	48776241	48776521	281	*	X00076	11040	48770459	48776413	5955	-	0	overlapStart	0	PIM2
chrX	48815125	48815390	266	*	X00077	55593	48779303	48815648	36346	-	0	inside	257	OTUD5
chrX	48815637	48815859	223	*	X00078	55593	48779303	48815648	36346	-	0	overlapStart	0	OTUD5
chrX	48900871	48900998	128	*	X00079	7030	48886242	48900990	14749	-	0	overlapStart	0	TFE3
chrX	48901386	48901405	20	*	X00080	7030	48886242	48900990	14749	-	395	upstream	395	TFE3
chrX	48957964	48958562	599	*	X00081	11152	48932092	48958059	25968	-	0	overlapStart	0	WDR45
chrX	49125479	49125882	404	*	X00087	89801	49126306	49144555	18250	+	423	upstream	423	PPP1R3F
chrX	49125987	49126302	316	*	X00088	89801	49126306	49144555	18250	+	3	upstream	3	PPP1R3F
chrX	49686964	49687084	121	*	X00089	1184	49687225	49863892	176668	+	140	upstream	140	CLCN5
chrX	49687172	49687304	133	*	X00090	1184	49687225	49863892	176668	+	0	overlapStart	0	CLCN5
chrX	53111247	53111395	149	*	X00092	64061	53111542	53117728	6187	+	146	upstream	146	TSPYL2
chrX	53111450	53111584	135	*	X00093	64061	53111542	53117728	6187	+	0	overlapStart	0	TSPYL2
chrX	53449632	53450161	530	*	X00095	158787	53449805	53458063	8259	+	0	overlapStart	0	RIBC1
chrX	53449632	53450161	530	*	X00095	8243	53401070	53449618	48549	-	13	upstream	13	SMC1A
chrX	54070830	54071391	562	*	X00097	23133	53963113	54071569	108457	-	0	inside	177	PHF8
chrX	55187516	55187714	199	*	X00100	90736	55169535	55187628	18094	-	0	overlapStart	0	FAM104B
chrX	55743998	55744247	250	*	X00101	10325	55744110	55785207	41098	+	0	overlapStart	0	RRAGB
chrX	63425636	63425950	315	*	X00102	139285	63404997	63425624	20628	-	11	upstream	11	AMER1
chrX	68048630	68048696	67	*	X00103	1947	68048840	68066029	17190	+	143	upstream	143	EFNB1
chrX	68048777	68048859	83	*	X00104	1947	68048840	68066029	17190	+	0	overlapStart	0	EFNB1
chrX	69509731	69509953	223	*	X00107	24137	69509879	69640774	130896	+	0	overlapStart	0	KIF4A
chrX	69509731	69509953	223	*	X00107	51248	69506211	69509798	3588	-	0	overlapStart	0	PDZD11
chrX	77359339	77359735	397	*	X00109	5230	77359666	77382324	22659	+	0	overlapStart	0	PGK1
chrX	80065388	80065427	40	*	X00110	254065	79924987	80065233	140247	-	154	upstream	154	BRWD3
chrX	80065494	80065598	105	*	X00111	254065	79924987	80065233	140247	-	260	upstream	260	BRWD3
chrX	100352930	100353002	73	*	X00112	2491	100353178	100417978	64801	+	175	upstream	175	CENPI
chrX	100353097	100353237	141	*	X00113	2491	100353178	100417978	64801	+	0	overlapStart	0	CENPI
chrX	103410871	103411277	407	*	X00114	139231	103411156	103440582	29427	+	0	overlapStart	0	FAM199X
chrX	106243362	106243717	356	*	X00115	79710	106057101	106243474	186374	-	0	overlapStart	0	MORC4
chrX	106871483	106871832	350	*	X00116	5631	106871654	106894256	22603	+	0	overlapStart	0	PRPS1
chrX	107018985	107019267	283	*	X00120	1831	106956452	107019202	62751	-	0	overlapStart	0	TSC22D3
chrX	107334681	107335044	364	*	X00121	115201	107334899	107397901	63003	+	0	overlapStart	0	ATG4A
chrX	107334681	107335044	364	*	X00121	5716	107327435	107334874	7440	-	0	overlapStart	0	PSMD10
chrX	108976461	108976717	257	*	X00122	2182	108884564	108976621	92058	-	0	overlapStart	0	ACSL4
chrX	117479745	117480243	499	*	X00124	54521	117480036	117583923	103888	+	0	overlapStart	0	WDR44
chrX	118986900	118987228	329	*	X00125	65109	118967989	118986991	19003	-	0	overlapStart	0	UPF3B
chrX	119384469	119384764	296	*	X00126	10009	119384607	119392251	7645	+	0	overlapStart	0	ZBTB33
chrX	119763834	119764167	334	*	X00127	29071	119759529	119764005	4477	-	0	overlapStart	0	C1GALT1C1
chrX	122993641	122994199	559	*	X00128	331	122993662	123047829	54168	+	0	overlapStart	0	XIAP
chrX	123094388	123094390	3	*	X00129	10735	123094475	123236505	142031	+	84	upstream	84	STAG2
chrX	123094045	123094278	234	*	X00130	10735	123094475	123236505	142031	+	196	upstream	196	STAG2
chrX	129244556	129245010	455	*	X00132	2000	129198895	129244688	45794	-	0	overlapStart	0	ELF4
chrX	129299688	129299905	218	*	X00133	9131	129263338	129299861	36524	-	0	overlapStart	0	AIFM1
chrX	130037135	130037357	223	*	X00134	10495	129757357	130037208	279852	-	0	overlapStart	0	ENOX2
chrX	133507130	133507414	285	*	X00135	84295	133507342	133562822	55481	+	0	overlapStart	0	PHF6
chrX	134049187	134049374	188	*	X00136	56180	134021662	134049297	27636	-	0	overlapStart	0	MOSPD1
chrX	134049411	134049463	53	*	X00137	56180	134021662	134049297	27636	-	113	upstream	113	MOSPD1
chrX	134186133	134186468	336	*	X00140	26071	134184963	134186221	1259	-	0	overlapStart	0	RTL8A
chrX	135579017	135579466	450	*	X00144	27336	135579238	135594503	15266	+	0	overlapStart	0	HTATSF1
chrX	146993045	146993648	604	*	X00146	2332	146993469	147032647	39179	+	0	overlapStart	0	FMR1
chrX	148620803	148621393	591	*	X00148	91966	148622519	148632086	9568	+	1125	upstream	1125	EOLA1
chrX	148622083	148622613	531	*	X00149	100131434	148609132	148622504	13373	-	0	overlapStart	0	LINC00893
chrX	148622083	148622613	531	*	X00149	91966	148622519	148632086	9568	+	0	overlapStart	0	EOLA1
chrX	149106653	149107429	777	*	X00150	100272228	149106766	149392815	286050	+	0	overlapStart	0	LINC00894
chrX	149106653	149107429	777	*	X00150	541578	149097723	149106716	8994	-	0	overlapStart	0	EOLA2
chrX	149107498	149107879	382	*	X00151	541578	149097723	149106716	8994	-	781	upstream	781	EOLA2
chrX	149107891	149108978	1088	*	X00152	541578	149097723	149106716	8994	-	1174	upstream	1174	EOLA2
chrX	149736705	149736740	36	*	X00153	4534	149737047	149841616	104570	+	306	upstream	306	MTM1
chrX	149737028	149737136	109	*	X00154	4534	149737047	149841616	104570	+	0	overlapStart	0	MTM1
chrX	150067037	150067381	345	*	X00155	83692	149934809	150067289	132481	-	0	overlapStart	0	CD99L2
chrX	150151589	150151681	93	*	X00156	3149	150151763	150159248	7486	+	81	upstream	81	HMGB3
chrX	150151718	150151847	130	*	X00157	3149	150151763	150159248	7486	+	0	overlapStart	0	HMGB3
chrX	151999211	151999286	76	*	X00158	1069	151995871	151999301	3431	-	0	inside	14	CETN2
chrX	151999211	151999286	76	*	X00158	50814	151999511	152037907	38397	+	224	upstream	224	NSDHL
chrX	151999474	151999658	185	*	X00159	1069	151995871	151999301	3431	-	172	upstream	172	CETN2
chrX	151999474	151999658	185	*	X00159	50814	151999511	152037907	38397	+	0	overlapStart	0	NSDHL
chrX	152864821	152864930	110	*	X00164	92002	152853383	152864632	11250	-	188	upstream	188	CCNQ
chrX	152989785	152990431	647	*	X00166	10134	152965947	152990201	24255	-	0	overlapStart	0	BCAP31
chrX	152989785	152990431	647	*	X00166	215	152990323	153010216	19894	+	0	overlapStart	0	ABCD1
chrX	153059763	153060142	380	*	X00167	3421	153051221	153059978	8758	-	0	overlapStart	0	IDH3G
chrX	153059763	153060142	380	*	X00167	6748	153059630	153063967	4338	+	0	inside	132	SSR4
chrX	153193610	153193841	232	*	X00168	393	153172830	153191714	18885	-	1895	upstream	1895	ARHGAP4
chrX	153200444	153200640	197	*	X00170	8260	153195280	153200607	5328	-	0	overlapStart	0	NAA10
chrX	153237528	153238441	914	*	X00171	3054	153213008	153236819	23812	-	708	upstream	708	HCFC1
chrX	153237528	153238441	914	*	X00171	8269	153237991	153248646	10656	+	0	overlapStart	0	TMEM187
chrX	153606874	153607111	238	*	X00175	2010	153607597	153609883	2287	+	485	upstream	485	EMD
chrX	153607590	153607873	284	*	X00176	2010	153607597	153609883	2287	+	0	overlapStart	0	EMD
chrX	153626435	153626732	298	*	X00178	26778	153628622	153628756	135	+	1889	upstream	1889	SNORA70
chrX	153626435	153626732	298	*	X00178	6134	153626571	153632038	5468	+	0	overlapStart	0	RPL10
chrX	153656804	153657104	301	*	X00179	537	153656978	153664862	7885	+	0	overlapStart	0	ATP6AP1
chrX	153707135	153707405	271	*	X00180	8270	153705241	153707596	2356	-	0	inside	190	LAGE3
chrX	153718911	153719023	113	*	X00181	8273	153715650	153719002	3353	-	0	overlapStart	0	SLC10A3
chrX	153719089	153719313	225	*	X00182	8273	153715650	153719002	3353	-	86	upstream	86	SLC10A3
chrX	153744502	153744616	115	*	X00183	60343	153733327	153744566	11240	-	0	overlapStart	0	FAM3A
chrX	153744714	153744890	177	*	X00184	60343	153733327	153744566	11240	-	147	upstream	147	FAM3A
chrX	153990795	153991277	483	*	X00185	1736	153991031	154005964	14934	+	0	overlapStart	0	DKC1
chrX	154254914	154255463	550	*	X00186	2157	154064064	154255215	191152	-	0	overlapStart	0	F8
chrX	154254914	154255463	550	*	X00186	65991	154255064	154285191	30128	+	0	overlapStart	0	FUNDC2
chrX	154299330	154299522	193	*	X00187	100272147	154289900	154299547	9648	-	0	inside	24	CMC4
chrX	154299330	154299522	193	*	X00187	4515	154292309	154299547	7239	-	0	inside	24	MTCP1
chrX	154299330	154299522	193	*	X00187	79184	154299695	154351349	51655	+	172	upstream	172	BRCC3
chrX	154299669	154299923	255	*	X00188	100272147	154289900	154299547	9648	-	121	upstream	121	CMC4
chrX	154299669	154299923	255	*	X00188	4515	154292309	154299547	7239	-	121	upstream	121	MTCP1
chrX	154299669	154299923	255	*	X00188	79184	154299695	154351349	51655	+	0	overlapStart	0	BRCC3
chr13	20207593	20207790	198	*	X00189	54737	20207788	20247599	39812	+	0	overlapStart	0	MPHOSPH8
chr13	20437552	20438096	545	*	X00190	9205	20397624	20437776	40153	-	0	overlapStart	0	ZMYM5
chr13	20532579	20533011	433	*	X00191	7750	20532810	20665968	133159	+	0	overlapStart	0	ZMYM2
chr13	21635595	21635919	325	*	X00196	26524	21547176	21635722	88547	-	0	overlapStart	0	LATS2
chr13	21714406	21714799	394	*	X00197	10284	21714653	21723224	8572	+	0	overlapStart	0	SAP18
chr13	22033520	22033599	80	*	X00198	253832	21946710	22033508	86799	-	11	upstream	11	ZDHHC20
chr13	22033655	22033822	168	*	X00199	253832	21946710	22033508	86799	-	146	upstream	146	ZDHHC20
chr13	22177936	22178207	272	*	X00200	221154	22066828	22178355	111528	-	0	inside	147	MICU2
chr13	24463421	24463619	199	*	X00202	4285	24304328	24463587	159260	-	0	overlapStart	0	MIPEP
chr13	24734633	24734773	141	*	X00204	100313842	24736555	24736643	89	+	1781	upstream	1781	MIR2276
chr13	24734844	24735003	160	*	X00205	100313842	24736555	24736643	89	+	1551	upstream	1551	MIR2276
chr13	25496837	25497243	407	*	X00206	55835	25456412	25497027	40616	-	0	overlapStart	0	CENPJ
chr13	25875545	25875823	279	*	X00207	9818	25875666	25916561	40896	+	0	overlapStart	0	NUP58
chr13	27131878	27131947	70	*	X00208	10810	27131840	27263082	131243	+	0	inside	37	WASF3
chr13	27745959	27746342	384	*	X00209	219333	27640287	27746033	105747	-	0	overlapStart	0	USP12
chr13	28024492	28024838	347	*	X00210	219402	28009776	28024739	14964	-	0	overlapStart	0	MTIF3
chr13	28194644	28194980	337	*	X00211	222484	28120050	28195244	75195	-	0	inside	263	LNX2
chr13	28194644	28194980	337	*	X00211	51082	28194880	28241559	46680	+	0	overlapStart	0	POLR1D
chr13	28195588	28196199	612	*	X00212	222484	28120050	28195244	75195	-	343	upstream	343	LNX2
chr13	30169667	30170252	586	*	X00213	6541	30083551	30169825	86275	-	0	overlapStart	0	SLC7A1
chr13	30424764	30425003	240	*	X00214	5412	30338545	30424820	86276	-	0	overlapStart	0	UBL3
chr13	31191444	31191851	408	*	X00217	10208	31191830	31233686	41857	+	0	overlapStart	0	USPL1
chr13	31191444	31191851	408	*	X00217	3146	31032879	31191510	158632	-	0	overlapStart	0	HMGB1
chr13	31191931	31192249	319	*	X00218	10208	31191830	31233686	41857	+	0	inside	100	USPL1
chr13	31191931	31192249	319	*	X00218	3146	31032879	31191510	158632	-	420	upstream	420	HMGB1
chr13	41363497	41363838	342	*	X00222	10166	41363547	41386596	23050	+	0	overlapStart	0	SLC25A15
chr13	41635454	41636118	665	*	X00223	11193	41635697	41658139	22443	+	0	overlapStart	0	WBP4
chr13	41706728	41707086	359	*	X00224	89890	41701709	41706936	5228	-	0	overlapStart	0	KBTBD6
chr13	42614145	42614833	689	*	X00225	160851	42614172	42830716	216545	+	0	overlapStart	0	DGKH
chr13	42845839	42846192	354	*	X00229	11215	42846289	42897403	51115	+	96	upstream	96	AKAP11
chr13	45151366	45152240	875	*	X00234	8848	45006279	45150701	144423	-	664	upstream	664	TSC22D1
chr13	45915323	45915475	153	*	X00236	100190939	45915480	45965618	50139	+	4	upstream	4	TPT1-AS1
chr13	45915323	45915475	153	*	X00236	7178	45911304	45915297	3994	-	25	upstream	25	TPT1
chr13	45915540	45915878	339	*	X00237	100190939	45915480	45965618	50139	+	0	inside	59	TPT1-AS1
chr13	45915540	45915878	339	*	X00237	7178	45911304	45915297	3994	-	242	upstream	242	TPT1
chr13	46038929	46039145	217	*	X00239	83548	46039030	46110833	71804	+	0	overlapStart	0	COG3
chr13	48611666	48612362	697	*	X00240	55270	48611703	48621282	9580	+	0	overlapStart	0	NUDT15
chr13	48611666	48612362	697	*	X00240	8803	48516791	48612125	95335	-	0	overlapStart	0	SUCLA2
chr13	50017988	50018257	270	*	X00242	81617	49882786	50018221	135436	-	0	overlapStart	0	CAB39L
chr13	50017988	50018257	270	*	X00242	83852	50018429	50069139	50711	+	171	upstream	171	SETDB2
chr13	50018326	50018557	232	*	X00243	81617	49882786	50018221	135436	-	104	upstream	104	CAB39L
chr13	50018326	50018557	232	*	X00243	83852	50018429	50069139	50711	+	0	overlapStart	0	SETDB2
chr13	50265401	50265924	524	*	X00244	84650	50234810	50265623	30814	-	0	overlapStart	0	EBPL
chr13	50366742	50367319	578	*	X00245	3839	50273443	50367057	93615	-	0	overlapStart	0	KPNA3
chr13	50510302	50510601	300	*	X00246	57213	50486842	50510625	23784	-	0	inside	23	SPRYD7
chr13	50510708	50510803	96	*	X00247	57213	50486842	50510625	23784	-	82	upstream	82	SPRYD7
chr13	52027163	52027268	106	*	X00249	26512	51935701	52027275	91575	-	0	inside	6	INTS6
chr13	52027417	52027832	416	*	X00250	26512	51935701	52027275	91575	-	141	upstream	141	INTS6
chr13	52157779	52159114	1336	*	X00251	115825	52158484	52336171	177688	+	0	overlapStart	0	WDFY2
chr13	52586290	52586326	37	*	X00252	440138	52586523	52591849	5327	+	196	upstream	196	ALG11
chr13	52586290	52586326	37	*	X00252	540	52506806	52585630	78825	-	659	upstream	659	ATP7B
chr13	52586290	52586326	37	*	X00252	9724	52586523	52607736	21214	+	196	upstream	196	UTP14C
chr13	52586458	52586582	125	*	X00253	440138	52586523	52591849	5327	+	0	overlapStart	0	ALG11
chr13	52586458	52586582	125	*	X00253	540	52506806	52585630	78825	-	827	upstream	827	ATP7B
chr13	52586458	52586582	125	*	X00253	9724	52586523	52607736	21214	+	0	overlapStart	0	UTP14C
chr13	53024616	53024906	291	*	X00254	51028	52986737	53024763	38027	-	0	overlapStart	0	VPS36
chr13	53226618	53227148	531	*	X00255	10910	53226831	53262433	35603	+	0	overlapStart	0	SUGT1
chr13	60737920	60738348	429	*	X00256	81624	60239721	60738119	498399	-	0	overlapStart	0	DIAPH3
chr13	60970408	60970719	312	*	X00257	81550	60970591	61148013	177423	+	0	overlapStart	0	TDRD3
chr13	73301592	73301893	302	*	X00258	440145	73282495	73301938	19444	-	0	inside	44	MZT1
chr13	73301592	73301893	302	*	X00258	79866	73302042	73330328	28287	+	148	upstream	148	BORA
chr13	73301952	73302113	162	*	X00259	440145	73282495	73301938	19444	-	13	upstream	13	MZT1
chr13	73301952	73302113	162	*	X00259	79866	73302042	73330328	28287	+	0	overlapStart	0	BORA
chr13	73356032	73356402	371	*	X00260	10464	73356230	73590591	234362	+	0	overlapStart	0	PIBF1
chr13	73356032	73356402	371	*	X00260	22894	73329540	73356344	26805	-	0	overlapStart	0	DIS3
chr13	74708452	74708697	246	*	X00263	11278	74260149	74708394	448246	-	57	upstream	57	KLF12
chr13	74708906	74709377	472	*	X00264	11278	74260149	74708394	448246	-	511	upstream	511	KLF12
chr13	74709463	74710012	550	*	X00265	11278	74260149	74708394	448246	-	1068	upstream	1068	KLF12
chr13	76056345	76056789	445	*	X00266	9882	75858809	76056250	197442	-	94	upstream	94	TBC1D4
chr13	76123483	76124098	616	*	X00267	7347	76123616	76180156	56541	+	0	overlapStart	0	UCHL3
chr13	77566016	77566451	436	*	X00268	1203	77566059	77576652	10594	+	0	overlapStart	0	CLN5
chr13	77901176	77901458	283	*	X00270	23077	77618792	77901177	282386	-	0	overlapStart	0	MYCBP2
chr13	80055161	80055655	495	*	X00271	100874208	80051499	80055366	3868	-	0	overlapStart	0	NDFIP2-AS1
chr13	80055161	80055655	495	*	X00271	54602	80055259	80130212	74954	+	0	overlapStart	0	NDFIP2
chr13	80915320	80915676	357	*	X00272	10253	80910112	80915086	4975	-	233	upstream	233	SPRY2
chr13	91999526	91999964	439	*	X00273	407975	92000074	92006829	6756	+	109	upstream	109	MIR17HG
chr13	95248405	95248613	209	*	X00274	23483	95226308	95248511	22204	-	0	overlapStart	0	TGDS
chr13	95253811	95253823	13	*	X00275	160897	95254104	95286899	32796	+	280	upstream	280	GPR180
chr13	95254014	95254300	287	*	X00276	160897	95254104	95286899	32796	+	0	overlapStart	0	GPR180
chr13	95953632	95954140	509	*	X00277	10257	95672083	95953687	281605	-	0	overlapStart	0	ABCC4
chr13	96329013	96329604	592	*	X00278	5611	96329393	96447243	117851	+	0	overlapStart	0	DNAJC3
chr13	98085170	98085814	645	*	X00279	5911	98086475	98120252	33778	+	660	upstream	660	RAP2A
chr13	98086011	98086272	262	*	X00280	5911	98086475	98120252	33778	+	202	upstream	202	RAP2A
chr13	98086355	98086607	253	*	X00281	5911	98086475	98120252	33778	+	0	overlapStart	0	RAP2A
chr13	99229357	99229911	555	*	X00284	8428	99102455	99229396	126942	-	0	overlapStart	0	STK24
chr13	99739816	99740201	386	*	X00285	23348	99445741	99738660	292920	-	1155	upstream	1155	DOCK9
chr13	99852949	99853191	243	*	X00286	100289373	99848628	99853011	4384	-	0	overlapStart	0	UBAC2-AS1
chr13	99852949	99853191	243	*	X00286	337867	99852679	100038753	186075	+	0	inside	269	UBAC2
chr13	100258769	100258795	27	*	X00288	171425	100258919	100549388	290470	+	123	upstream	123	CLYBL
chr13	100258893	100259153	261	*	X00289	171425	100258919	100549388	290470	+	0	overlapStart	0	CLYBL
chr13	100741162	100741391	230	*	X00290	5095	100741269	101182691	441423	+	0	overlapStart	0	PCCA
chr13	101326996	101327229	234	*	X00291	84899	101256090	101327103	71014	-	0	overlapStart	0	TMTC4
chr13	103249095	103249485	391	*	X00293	7174	103249286	103331523	82238	+	0	overlapStart	0	TPP2
chr13	103425922	103426354	433	*	X00294	93081	103418463	103426149	7687	-	0	overlapStart	0	TEX30
chr13	103451223	103451366	144	*	X00295	54841	103451399	103493888	42490	+	32	upstream	32	BIVM
chr13	103451223	103451366	144	*	X00295	79070	103436631	103451404	14774	-	0	inside	37	POGLUT2
chr13	103498097	103498467	371	*	X00296	2073	103498191	103528351	30161	+	0	overlapStart	0	ERCC5
chr13	107187917	107187965	49	*	X00299	1948	107142079	107187388	45310	-	528	upstream	528	EFNB2
chr13	107188274	107188319	46	*	X00300	1948	107142079	107187388	45310	-	885	upstream	885	EFNB2
chr13	110438922	110439359	438	*	X00301	8660	110406184	110438914	32731	-	7	upstream	7	IRS2
chr13	111267659	111268012	354	*	X00304	55739	111267807	111292342	24536	+	0	overlapStart	0	NAXD
chr13	111364653	111365033	381	*	X00306	3621	111364970	111373421	8452	+	0	overlapStart	0	ING1
chr13	111365161	111365607	447	*	X00307	3621	111364970	111373421	8452	+	0	inside	190	ING1
chr13	111367706	111367804	99	*	X00308	79587	111293757	111365950	72194	-	1755	upstream	1755	CARS2
chr13	111522532	111522928	397	*	X00310	283487	111516334	111522655	6322	-	0	overlapStart	0	PRECSIT
chr13	111567123	111568120	998	*	X00311	55608	111530887	111567416	36530	-	0	overlapStart	0	ANKRD10
chr13	113951288	113951546	259	*	X00316	3916	113951469	113977741	26273	+	0	overlapStart	0	LAMP1
chr13	114144935	114145487	553	*	X00319	55002	114145308	114204544	59237	+	0	overlapStart	0	TMCO3
chr13	114144935	114145487	553	*	X00319	55208	114110134	114145023	34890	-	0	overlapStart	0	DCUN1D2
chr13	114238659	114239102	444	*	X00320	7027	114239003	114295788	56786	+	0	overlapStart	0	TFDP1
chr13	115046841	115047704	864	*	X00323	65110	115047059	115071291	24233	+	0	overlapStart	0	UPF3A
chr13	115079717	115080160	444	*	X00324	283489	115079965	115092803	12839	+	0	overlapStart	0	CHAMP1
chr12	861443	861782	340	*	X00325	65125	862089	1020618	158530	+	306	upstream	306	WNK1
chr12	1799917	1800239	323	*	X00327	79602	1800247	1897845	97599	+	7	upstream	7	ADIPOR2
